"Term","df","Variance_explained","Percent_total_variance","F_value","p_value"
"Intensity",1,4.95684860537655,24.7842430268828,23.6970416503171,0.001
"Frequency",1,0.721396498825494,3.60698249412747,3.44875630466468,0.005
"Composition",1,0.786500597713795,3.93250298856898,3.75999730994554,0.001
"Intensity:Frequency",1,0.375592757759028,1.87796378879514,1.79558383415606,0.072
"Intensity:Composition",1,0.387270201388621,1.93635100694311,1.85140980143688,0.068
"Frequency:Composition",1,0.482205989197996,2.41102994598998,2.30526617207209,0.035
"Intensity:Frequency:Composition",1,0.157986598760984,0.789932993804921,0.755281290409026,0.633
"Residual",58,12.1321987509775,60.6609937548877,NA,NA
