"Category","Trait","PC1_loading","PC1_contrib","PC1_cos2","PC2_loading","PC2_contrib","PC2_cos2","Total_contrib"
"Growth","SB",-0.955251114972355,45.4596138329315,0.912504692655928,0.142556984560157,1.32874977019822,0.0203224938468847,46.7883636031297
"Growth","R/S",0.271969181469244,3.68493663305724,0.0739672356690504,-0.794850579453264,41.3082875998655,0.63178744365719,44.9932242329227
"Growth","TB",-0.784245564517984,30.6404245050958,0.615041105466131,-0.446843603452294,13.0550125154736,0.199669205946231,43.6954370205693
"Growth","N",0.364354639307174,6.61362007889439,0.132754303184661,-0.673520445174706,29.6597693102888,0.453629790068334,36.2733893891832
"Growth","H",-0.52251235941528,13.6014049500211,0.273019165741723,-0.473324238753222,14.6481808041739,0.224035834991317,28.249585754195
"Leaf","LDMC",-0.631216975267289,16.2043590144094,0.398434869865585,-0.692990727142369,39.5411561422605,0.48023614790531,55.7455151566699
"Leaf","Leaf C:N",-0.842534748135299,28.8702243962484,0.709864801815411,0.510134010146441,21.427084075285,0.260236708308089,50.2973084715334
"Leaf","LNC",0.872592812539473,30.9669034348514,0.761418216495549,-0.459635534123301,17.3948909065583,0.211264824228812,48.3617943414097
"Leaf","SLA",0.767525251815895,23.9585131544908,0.589095012175054,0.512625195863924,21.6368688758963,0.262784591434526,45.595382030387
"Physiological","PSIIeff",0.464190183439952,8.66028695632253,0.215472526402016,0.779621507795434,63.005726371899,0.607809695417226,71.6660133282215
"Physiological","Chl",0.82260302045042,27.1969985667042,0.676675729254154,0.242006770653131,6.07110064132775,0.058567277041957,33.268099208032
"Physiological","Phi_osm",0.581123550546526,13.5730463032041,0.337704580999801,-0.435255701249967,19.6381845199762,0.189447525470601,33.2112308231804
"Physiological","SD",0.742148039000197,22.1371377346097,0.550783711791838,-0.31883762737899,10.5378384590043,0.101657432632664,32.674976193614
"Physiological","SS",-0.841080505446058,28.4325304391594,0.707416416641397,0.0848980476171534,0.747150007792665,0.00720767848920445,29.1796804469521
"Root","RTD",0.550774127087952,10.7895024051066,0.303352139069496,-0.780406286278289,34.5133328852621,0.609033971662671,45.3028352903687
"Root","RDMC",0.489889545753286,8.53592710969138,0.239991767038361,-0.792334181789553,35.5764136740493,0.627793455632121,44.1123407837407
"Root","RNC",-0.772808768353113,21.242148296513,0.597233392443456,-0.359174481922276,7.31065568668738,0.129006308464135,28.5528039832003
"Root","RD",0.609612054548628,13.2178691083348,0.371626857050999,0.50155790372599,14.2556669106318,0.251560330790009,27.4735360189666
"Root","Root C:N",0.735247585412779,19.2274445846283,0.540589011855321,0.380238262208403,8.19326525202848,0.144581136047266,27.4207098366568
"Root","SRL",-0.871065875387776,26.9871084957259,0.758755759265073,0.0515625455003023,0.150665591340925,0.00265869609847075,27.1377740870668
"Fitness","SPtotal",0.106209851979602,0.439109591437664,0.0112805326575289,-0.924614493004192,84.0679239736101,0.854911960673399,84.5070335650478
"Fitness","RP2",-0.874696501107577,29.7822904609621,0.765093969049837,-0.146143560970088,2.10023697581699,0.0213579404130177,31.8825274367791
"Fitness","RP1",-0.844425985998662,27.7566146187109,0.713055245829812,0.0572794471694248,0.322631349834727,0.00328093506803493,28.0792459685456
"Fitness","SER",-0.744057436114268,21.5504448335062,0.553621468236938,-0.0337385560567519,0.111933971491618,0.00113829016479459,21.6623788049978
"Fitness","SSR1",-0.507175839424962,10.0129126994788,0.257227332096414,0.269887026627334,7.16263708590766,0.0728390071417433,17.1755497853865
"Fitness","SSR2",-0.518341159158331,10.4586277959043,0.268677557277603,-0.251797323267754,6.23463664333888,0.0634018920048058,16.6932644392432
