"SampleID","Pot","Intensity","Frequency","Composition","N","H","PC1","PC2","Category"
"DL81-B-M","Pot-81","Dry","Low","Heterospecific",25,8.82,2.22852042288608,-0.65121324356831,"Leaf"
"DL82-B-M","Pot-82","Dry","Low","Heterospecific",26,9.98,2.18048706548601,-0.643706340693168,"Leaf"
"DL83-B-M","Pot-83","Dry","Low","Heterospecific",31,8.96,0.867460360666961,-0.124607317167298,"Leaf"
"DL84-B-M","Pot-84","Dry","Low","Heterospecific",21,12.22,-0.102210316846501,-2.28804586967854,"Leaf"
"DL85-B-M","Pot-85","Dry","Low","Heterospecific",32,7.58,0.871560462098228,-0.868583650778607,"Leaf"
"DL86-B-M","Pot-86","Dry","Low","Heterospecific",33,6.86,2.23326706998115,0.264140600588082,"Leaf"
"DL87-B-M","Pot-87","Dry","Low","Heterospecific",26,8.38,1.39267350843308,0.19757262951668,"Leaf"
"DL88-B-M","Pot-88","Dry","Low","Heterospecific",14,11.05,0.520841379335014,1.19011288761049,"Leaf"
"DL89-B-M","Pot-89","Dry","Low","Heterospecific",10,11.9,-0.768975545615222,2.80982473434815,"Leaf"
"DL90-B-M","Pot-90","Dry","Low","Heterospecific",26,8.26,1.47347266043079,0.408282343218501,"Leaf"
"DH96-B-S","Pot-96","Dry","High","Conspecific",25,9.22,1.51926658678044,-1.32314475747611,"Leaf"
"DH97-B-S","Pot-97","Dry","High","Conspecific",19,12.8,1.20592632440481,-1.47446431875054,"Leaf"
"DH98-B-S","Pot-98","Dry","High","Conspecific",15,15.5,3.52171528214759,-1.6838291865918,"Leaf"
"DH114-B-M","Pot-114","Dry","High","Heterospecific",28,10.32,3.59171690798535,0.117321001017203,"Leaf"
"DH117-B-M","Pot-117","Dry","High","Heterospecific",28,10.9,1.91315506407637,-0.966091201426611,"Leaf"
"DH119-B-M","Pot-119","Dry","High","Heterospecific",22,7.78,1.87761449826893,-1.28691886243761,"Leaf"
"WL1-B-S","Pot-1","Wet","Low","Conspecific",35,16.84,0.502749078165541,-0.105332875128279,"Physiological"
"WL2-B-S","Pot-2","Wet","Low","Conspecific",54,13.34,-1.27660023134218,-0.629289402634078,"Physiological"
"WL3-B-S","Pot-3","Wet","Low","Conspecific",52,15.96,-0.709466331965643,-0.523704473946442,"Physiological"
"WL4-B-S","Pot-4","Wet","Low","Conspecific",57,16.32,-1.2434662305184,0.181561130806184,"Physiological"
"WL5-B-S","Pot-5","Wet","Low","Conspecific",51,12.38,-0.97471152899579,-1.72087174309202,"Physiological"
"WL6-B-S","Pot-6","Wet","Low","Conspecific",69,11.98,-1.37303147534297,1.37709340408649,"Physiological"
"WL7-B-S","Pot-7","Wet","Low","Conspecific",57,13.62,-1.03050677164296,0.597612382295716,"Physiological"
"WL8-B-S","Pot-8","Wet","Low","Conspecific",46,14.96,-1.12460030176325,0.669838000050613,"Physiological"
"WL9-B-S","Pot-9","Wet","Low","Conspecific",55,12.86,-0.604492362551835,0.743520889139886,"Physiological"
"WL10-B-S","Pot-10","Wet","Low","Conspecific",52,11.92,-2.33089276935392,-1.97167096795539,"Physiological"
"WL21-B-M","Pot-21","Wet","Low","Heterospecific",30,17.15,-1.16913232117072,1.09370365972486,"Physiological"
