"Treatment","Edge_density","Avg_path_length","Diameter","Avg_clust_coeff","Modularity","Num_modules","Num_trait_relationships"
"Dry",0.104761904761905,2.03422931876522,4.93543561548611,0.366666666666667,0.53356209533004,7,22
"Wet",0.0714285714285714,0.915865259809012,1.97383608214757,0.761904761904762,0.441909077173186,13,15
"Low",0.119047619047619,1.59225224651544,3.97474916731052,0.502777777777778,0.483836937384916,7,25
"High",0.185714285714286,1.55129810854689,3.70490896474758,0.529166666666667,0.356467950909155,5,39
"Conspecific",0.142857142857143,1.47304894357713,3.319762993017,0.573333333333333,0.532340901317408,6,30
"Heterospecific",0.10952380952381,1.6052773219504,3.78503317024559,0.512554112554113,0.494963802644459,8,23
"All",0.0904761904761905,1.41006184320071,3.40000002546814,0.625925925925926,0.544749702743926,9,19
