"PC1","PC2","Trait","Category"
0.236404510516132,-0.0507464164882202,"N","All"
0.253705858930175,0.225417964283999,"H","All"
-0.00169304651750099,0.183234462028238,"SB","All"
0.108086813397529,0.0796188632485658,"TB","All"
0.137932586818595,-0.097731050648677,"R/S","All"
-0.25020970809917,-0.157346346699799,"SLA","All"
0.161232871222893,0.158373450123716,"LDMC","All"
-0.338762789823569,0.105408318391941,"LNC","All"
0.287275932421788,-0.0396496046728826,"Leaf C:N","All"
-0.326685844809092,0.0317201457343895,"Chl","All"
-0.164439798289057,-0.0719718044277643,"PSIIeff","All"
-0.181881692278115,0.00406087939905132,"Phi_osm","All"
0.347955658467162,-0.0254313483109324,"SS","All"
-0.268413446255362,0.15614547075276,"SD","All"
0.142022118623356,-0.322287005186017,"RD","All"
-0.299672214569818,-0.204621432121642,"RDMC","All"
0.0458065993607122,0.43006941918783,"SRL","All"
-0.256004020902388,-0.234938961056595,"RTD","All"
-0.117546537691533,0.450934927075055,"RNC","All"
0.108422449313743,-0.462769047887621,"Root C:N","All"
