Trait,Category,Factor,p,Variance_Explained,Partial_Eta2
SS,Physiological,Frequency,0.387585523,1.168788685,0.012898152
SS,Physiological,TB_pot_c,0.288156439,1.7723082,0.019428885
SS,Physiological,Intensity:Frequency,0.355236902,1.339390493,0.014753051
SS,Physiological,Intensity:TB_pot_c,0.121803897,3.802449419,0.040776757
SS,Physiological,Frequency:TB_pot_c,0.401264316,1.10267537,0.012177444
SS,Physiological,Intensity:Frequency:TB_pot_c,0.470057406,0.815443146,0.009034039
SD,Physiological,Intensity,0.078282094,3.203606325,0.052485074
SD,Physiological,Frequency,0.014607051,6.319285534,0.098501654
SD,Physiological,TB_pot_c,0.030953446,4.876951239,0.077767716
SD,Physiological,Intensity:Frequency,0.005952628,8.130658572,0.123256265
SD,Physiological,Intensity:TB_pot_c,0.031538598,4.841914212,0.077252177
SD,Physiological,Frequency:TB_pot_c,0.006326965,8.00478649,0.121580107
SD,Physiological,Intensity:Frequency:TB_pot_c,0.011529077,6.78797716,0.105039977
RD,Root,Intensity,0.64724189,0.359923578,0.003634885
RD,Root,Frequency,0.7184093,0.223337081,0.002258607
RD,Root,TB_pot_c,0.903286355,0.025336127,0.000256738
RD,Root,Intensity:Frequency,0.779334028,0.13478635,0.001364316
RD,Root,Intensity:TB_pot_c,0.884403582,0.036274206,0.000367536
RD,Root,Frequency:TB_pot_c,0.568731177,0.558867397,0.005632711
RD,Root,Intensity:Frequency:TB_pot_c,0.971696215,0.00215998,2.19E-05
RDMC,Root,Intensity,0.227321444,2.487977464,0.02502861
RDMC,Root,Frequency,0.894789641,0.029481461,0.000304099
RDMC,Root,TB_pot_c,0.871598942,0.044040081,0.000454202
RDMC,Root,Intensity:Frequency,0.915618156,0.018923503,0.000195216
RDMC,Root,Intensity:TB_pot_c,0.727747189,0.204475791,0.002105353
RDMC,Root,Frequency:TB_pot_c,0.763293534,0.152985404,0.001576026
RDMC,Root,Intensity:Frequency:TB_pot_c,0.76955908,0.144754804,0.001491363
SRL,Root,Intensity,0.762301306,0.158201668,0.001589667
SRL,Root,Frequency,0.944331879,0.008425326,8.48E-05
SRL,Root,TB_pot_c,0.861453685,0.052644718,0.000529555
SRL,Root,Intensity:Frequency,0.851005431,0.060984455,0.000613393
SRL,Root,Intensity:TB_pot_c,0.817127392,0.092440429,0.000929489
SRL,Root,Frequency:TB_pot_c,0.975995927,0.001564422,1.57E-05
SRL,Root,Intensity:Frequency:TB_pot_c,0.695431688,0.26519133,0.002661876
SRA,Root,Intensity,0.556444645,0.594811873,0.005997301
SRA,Root,Frequency,0.999676124,2.82E-07,2.87E-09
SRA,Root,TB_pot_c,0.80142599,0.108504728,0.00109941
SRA,Root,Intensity:Frequency,0.74483518,0.181766556,0.001840359
SRA,Root,Intensity:TB_pot_c,0.792799769,0.118366953,0.001199218
SRA,Root,Frequency:TB_pot_c,0.784141434,0.128729132,0.001304064
SRA,Root,Intensity:Frequency:TB_pot_c,0.6849063,0.282698481,0.002859358
RTD,Root,Intensity,0.271071985,2.030909383,0.020844896
RTD,Root,Frequency,0.827912912,0.078428128,0.000821434
RTD,Root,TB_pot_c,0.718293725,0.216141302,0.002260542
RTD,Root,Intensity:Frequency,0.572274707,0.530522417,0.005530354
RTD,Root,Intensity:TB_pot_c,0.712443559,0.225644753,0.002359701
RTD,Root,Frequency:TB_pot_c,0.409715166,1.134211404,0.011749483
RTD,Root,Intensity:Frequency:TB_pot_c,0.630133205,0.385475099,0.004024415
RNC,Root,Intensity,0.200041436,2.18017772,0.028152229
RNC,Root,Frequency,0.170348789,2.501088611,0.032162814
RNC,Root,TB_pot_c,0.120295583,3.226020551,0.041101931
RNC,Root,Intensity:Frequency,0.101549471,3.592071609,0.045553248
RNC,Root,Intensity:TB_pot_c,0.060971089,4.738065139,0.059225562
RNC,Root,Frequency:TB_pot_c,0.076561667,4.218982527,0.053081476
RNC,Root,Intensity:Frequency:TB_pot_c,0.074476146,4.281317958,0.053823542
Root_CN,Root,Intensity,0.315023237,1.473228834,0.017402391
Root_CN,Root,Frequency,0.265705393,1.811457663,0.02131254
Root_CN,Root,TB_pot_c,0.216569874,2.238462557,0.026204778
Root_CN,Root,Intensity:Frequency,0.179195523,2.651421836,0.030889793
Root_CN,Root,Intensity:TB_pot_c,0.132525829,3.338358317,0.038584004
Root_CN,Root,Frequency:TB_pot_c,0.167582703,2.801044426,0.032576153
Root_CN,Root,Intensity:Frequency:TB_pot_c,0.191704449,2.502563719,0.029206206
